AnimalID,SampleID,ADDMI_keep,ADG_keep,FCR,Gender,Management_Group,heterosis,mathet,perANS,perHHS,perARS,perSHS,perDSS,perBMS,perBRS,perBNS,perSGS,perBVS,perCHS,perCAS,perGVS,perLMS,perMAS,perSAS,perSMS,perTAS,perBVSo,perCHSo,perLMSo,perHH,perAN,perSM,perCH,perM2,perM3,perRS,perBV,perBR,perXB,perRO
20171004,D5,8.83692307692308,1.0955086729,8.06650216061751,Steer,201701_HI_ME01,0.25,0.5,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0
20171005,A1,8.14461538461538,0.9547464507,8.53065793399276,Steer,201701_MI_ME01,0.5,1,0.0625,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.125,0,0,0,0,0,0,0
20171010,B15,9.45846153846154,0.9752838904,9.69816238283427,Steer,201701_MI_MD01,0.5,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.21875,0,0,0,0,0,0,0,0,0.03125,0,0,0.25,0,0,0,0,0,0,0
20171013,E21,10.1907692307692,1.1554511061,8.81973211758496,Steer,201701_HI_ME01,0.5,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0
20171014,E22,9.64153846153846,0.9691794927,9.94814534785344,Steer,201701_HI_ME01,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0
20171017,B16,8.39846153846154,0.953763309,8.80560350687755,Steer,201701_MI_MD01,0.25,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0
20171024,E23,10.6784615384615,1.5128655891,7.05843375340048,Steer,201701_MI_ME01,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0
20171033,A2,9.48461538461538,1.3470904876,7.04081535124885,Steer,201701_HI_ME01,0.681640625,0.89453125,0,0,0,0,0,0,0,0.75,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0
20171038,E25,10.0076923076923,1.0502859507,9.5285405855637,Steer,201701_MI_MD01,0.5,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0
20171051,F1,7.71384615384615,0.9977558497,7.73119611993807,Steer,201701_HI_MD01,0.5,1,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.75,0,0,0,0,0,0,0,0,0.125,0,0.0625,0,0,0,0,0,0,0
