factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.2562954 0.01661355 -0.1594356 0.2539709 0.246576 0.1812321 -0.2676373 0.6500563 0.7673191 -0.6728265 0.4895156 0.7517013 1.306509 -0.7107532 -0.3658668 -0.4317442 -1.653398 -1.247161 -0.4052432 -0.574966 -0.2052862 -0.9764263 -0.6370858 -0.8955561 -0.2715061 -0.8544627 405.3317 -36.07408 -307.4235 -1.710274 -2.289789 -0.1711573 -1.636221 -2.545348 -1.727788 -14.46975 -284.7915 -13.22325 -1.683076 -14.88732
-0.07993289 -0.007936441 -0.2587658 0.3876288 0.03327119 0.5409704 -0.0519265 0.7693608 0.9060188 -0.7899706 0.7994936 -0.267269 0.8717349 -0.9378468 -1.147861 0.2015776 -1.227715 -1.032101 0.580013 -1.238714 -0.7305472 -1.524937 -1.358131 -0.7270217 -0.396823 -0.6574746 312.2589 -157.7706 -245.7529 -0.7958568 -3.556711 -0.06126115 -2.740434 1.273906 -0.7071906 3.478688 257.2013 -0.9740123 -3.910817 0.3053153
0.1646867 0.07795424 -0.04519544 -0.1441417 -0.3549132 0.2975909 -0.2085874 0.4745916 1.525167 0.03933241 1.121376 0.2543998 0.5197578 0.907538 0.03774123 0.7640702 -1.365784 1.410944 1.36675 -0.1193444 0.07474697 -0.794703 0.2465097 0.2430978 -0.1226141 -0.2389866 8.277036 -87.55478 -26.15875 -0.6761229 0.4267043 1.268733 -0.3368759 -2.857379 0.1239269 25.41644 693.235 -10.9436 -2.16418 -12.99095
0.2262919 0.0907302 0.4051404 -0.2240733 -0.07689295 0.6710884 0.07522802 0.7098702 1.085249 -0.4945568 1.056858 0.7289638 1.177286 -0.5747946 -0.3719878 -0.1098502 -0.5468458 0.2239769 -0.1905143 0.2065275 -0.0770176 -0.8987195 -0.4925963 1.360029 -0.3741235 -1.991707 -15.70498 -41.79749 7.763141 -0.3704406 -1.634331 0.1011431 0.5511861 -3.093136 1.643851 -0.9403723 640.9387 2.592364 -3.720225 -2.718887
-0.04935075 -0.2033913 0.1766345 -0.3999926 -0.620774 0.3539126 0.2157421 0.9342633 1.311849 -0.07164952 1.575556 0.7774739 1.680735 0.1940043 -0.3045232 0.6434687 -0.1528245 0.3606872 1.246443 0.1258591 0.6421029 0.01692845 -0.4573793 2.112743 0.5367264 -1.728868 270.8334 16.20076 43.71166 0.1127511 0.6993477 0.335033 -1.034736 -2.537747 -2.428708 31.91661 -3226.517 -7.661113 0.1767067 -1.330561
-0.09463491 -0.04940928 0.1932662 0.0007484687 0.1135917 0.1692683 0.2100652 0.7470192 2.036054 0.0302016 1.229311 0.5270043 0.09361792 1.191839 0.3806415 1.170582 -0.09200564 -1.523563 1.453689 -1.652934 0.6034444 0.2380157 0.2464902 0.372513 0.7973046 0.8947651 566.1728 -145.5412 -266.3346 0.7196728 0.01703127 0.9686203 -0.7381294 -3.518554 5.638784 54.08299 -2035.666 1.371315 -0.7567818 -18.17837
-0.2839955 -0.1274479 0.1192385 -0.2126414 -0.2394508 0.2072027 0.0781237 0.7648522 1.512153 0.1305324 2.2168 1.128323 1.532258 0.9997307 -1.428066 1.662851 -0.2575561 -0.002846736 1.747776 -0.7005699 0.7062035 0.2411177 -0.1523424 2.226502 0.8859976 0.2027454 792.035 -71.04102 -479.102 0.5003525 0.4146348 1.792082 0.6846525 -3.351106 3.533549 96.77373 -1714.425 0.09529586 -1.715118 -10.98205
0.2958104 0.3199138 0.2055296 -0.3789368 -0.6637003 0.3632619 0.09307676 0.606628 1.617381 0.09957572 0.8827157 0.464183 1.572541 0.6378875 0.0473674 1.179441 -1.317819 1.318129 0.9464457 0.3760037 0.5352094 -0.8484693 -0.5221579 0.6490005 -0.09643444 -0.3699219 1030.979 -82.16865 -743.2798 -0.7636815 0.1364361 1.84028 -0.09636093 3.52586 1.740638 -9.091858 -1612.294 -4.194191 -1.336612 -3.17828
0.0463792 0.1907924 0.1199364 -0.08850602 -0.432092 0.6520297 -0.3465896 0.4245863 1.513194 -0.02355937 1.472082 0.4830636 2.065299 0.3349512 0.6234358 0.6561134 0.04169451 -0.07775508 1.047217 0.4613843 0.3193536 -0.09063317 0.04724859 0.66292 0.5211082 -0.3473245 1075.589 -35.42133 -1167.519 0.7793927 0.5387153 2.612534 0.862075 3.632594 3.744923 6.562316 2630.156 2.453879 0.7905824 5.698611
0.1012039 0.05255238 0.4123811 0.08123908 -0.1609931 0.271341 -0.3833988 0.7480961 1.588739 -0.04768209 1.855574 1.430206 1.920732 1.252373 -0.7366683 0.8155384 -0.8916557 0.9241871 1.580679 -0.5565391 0.933619 0.08685608 0.2157309 0.7366641 0.161466 -0.8364702 1262.242 43.77263 -1143.195 -0.241742 0.4385313 1.89447 -0.457063 -0.5185838 3.772685 77.38126 755.1295 1.66127 -2.091332 -17.62024
