factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.01122952 -0.01475731 0.03328799 0.1806667 0.3295017 0.2729891 0.1727653 0.00104597 -0.1513293 -0.1170415 -0.2335828 -0.3581433 -0.1735949 0.1928599 -0.05412614 -0.01925512 -0.5540662 -0.1303585 -0.1673744 -0.2276827 -0.1981614 -0.2369614 0.002661587 -0.09948649 -0.1040982 -0.6428727 -31.94733 -1.723467 66.3317 -0.1878771 -0.3802158 -0.1908077 0.08512846 -0.03144114 -0.09677528 -6.789934 -415.1867 -0.4893921 -0.6021798 3.573779
0.02816473 0.03185991 0.03034145 0.2499456 0.2556103 0.2540403 0.2048008 0.04993109 -0.2517417 -0.4316746 -0.328002 -0.2375354 0.1545774 0.1558134 -0.274807 -0.1633324 -0.08305553 -0.4162613 -0.07433307 -0.3752183 -0.382829 -0.2505921 -0.3297926 -0.2734722 -0.2477179 -0.2692019 -102.2966 2.928802 16.4027 -0.5022591 -0.437719 -0.2209756 0.09879398 -0.9316225 -0.3655071 -6.258645 727.3838 -0.4208826 -1.018394 0.06883375
0.02507339 0.003017197 -0.03233755 0.2461335 0.2492099 0.3035333 0.1882723 0.08589163 -0.2468917 -0.24651 -0.2937491 -0.3247615 -0.009234619 0.009791353 -0.2954846 -0.007920628 0.05929699 -0.01455405 -0.1228984 -0.3878589 -0.4509293 -0.3507742 -0.1545018 -0.06507769 -0.349978 -0.6033016 -69.20161 8.405906 47.89878 -0.550008 -0.6952051 -0.05790631 -0.3535296 -0.3215509 0.465332 6.921605 233.3202 -0.8975009 -0.7950716 -1.321707
0.1114813 0.08480476 0.03674205 0.3031845 0.4913033 0.3043297 0.314684 0.05655457 -0.1868414 -0.2849179 -0.2531444 -0.3513329 0.0004466243 0.05303841 -0.1878019 -0.01426283 -0.344683 -0.19014 -0.1593704 -0.4290009 -0.2293059 -0.2418601 -0.1130424 -0.1154581 -0.3320721 -0.5366747 -116.1342 -3.628185 110.4595 -0.1149387 -0.6121614 0.03213508 -0.2849622 -0.6237605 0.2270389 -6.381252 70.38436 0.5421356 -0.7165535 1.395199
0.1453005 0.08385857 0.1093389 0.2951388 0.3475285 0.2690741 0.2139225 -0.002174122 -0.1921836 -0.2176803 -0.007799461 -0.2849552 0.01956053 0.1490268 0.4592236 0.01740736 -0.4882678 0.03080181 -0.006108906 -0.1758372 -0.1337383 -0.2114035 -0.06302243 -0.08454323 -0.1827578 -0.5031937 -152.2511 -22.03131 166.8222 -0.4059185 -0.4075051 -0.06314446 0.2103358 0.9664322 -0.2062562 -0.258393 -309.8603 -0.1584936 -0.4689714 3.691425
0.01046202 0.0808738 0.04699654 0.1483317 0.3477468 0.2283045 0.2279372 0.1137108 -0.1562136 -0.2762029 -0.1893092 -0.4105291 -0.01307674 0.1071574 -0.2435098 -0.1477521 -0.1177671 0.07938508 -0.2507997 -0.3352328 -0.3339005 -0.3526153 -0.06314005 -0.2414297 -0.3113397 -0.5214005 -267.6089 20.57431 245.8404 -0.3348721 -0.512989 -0.3096254 -0.4645366 -1.117452 0.2766487 5.613435 33.59117 0.14705 -0.8845627 -0.5529249
0.02330209 0.02267051 0.0707971 0.3285026 0.4313411 0.245514 0.2344281 0.04298944 -0.2028151 -0.1191386 -0.02814032 -0.1834301 0.1080241 0.2120607 -0.1877643 0.1691908 -0.3529767 -0.489817 0.004569106 -0.389857 -0.2226465 -0.2518719 -0.1505455 -0.1223619 -0.2430266 -0.2567233 -288.6372 5.37165 255.9307 -0.2047845 -0.5857902 0.1825585 -0.5853196 -1.136896 0.04464223 11.85745 97.41642 -1.32006 -0.5707706 -1.123888
0.05057944 0.1344484 0.02071435 0.256028 0.3349657 0.253498 0.2247154 0.05470517 0.00623161 -0.1445281 -0.1590266 -0.2021125 0.5371676 0.1791783 0.2082311 -0.01437597 -0.07849102 -0.2105759 -0.1158313 -0.3469695 -0.0746055 -0.1450694 0.2119807 -0.02022911 -0.07632449 -0.3549454 -292.2359 10.94235 206.4758 -0.4452853 -0.1313897 0.05095956 0.1150118 -0.4133272 -0.7854819 -1.361786 777.2522 -0.6452491 -0.2868643 2.023602
0.0008176885 0.01199122 0.08022426 0.1548412 0.2714801 0.3262905 0.1147468 0.07431433 -0.1611046 -0.05246118 -0.1449229 -0.2373839 -0.03250234 0.2430697 -0.1362826 0.01962766 -0.01662829 -0.2561915 0.03344641 -0.1203572 -0.1836143 -0.1830769 -0.0383864 0.06387182 -0.1304306 -0.6998168 -286.6017 17.69494 171.3194 -0.2019293 -0.06785769 0.1701149 0.1160128 0.1300106 0.9264686 -4.570292 1071.743 -2.334831 -0.3887992 -1.211201
0.1188676 0.07942971 0.1761218 0.2698038 0.3522499 0.3991613 0.3136892 0.02867975 -0.1455604 -0.06882954 -0.07888915 -0.2043562 0.1495299 0.07403204 -0.1297768 -0.09402341 -0.01385079 0.3271695 -0.02079146 -0.3301493 -0.09987332 -0.2604694 -0.03590368 0.226316 -0.3168023 -0.43612 -299.4564 12.75505 176.0295 -0.2498129 -0.302065 -0.1487649 0.06695125 -0.460363 -0.5570084 -8.311194 1103.015 -1.366236 -0.5842081 2.088869
