factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.8256095 -0.7868676 -0.6864525 -2.255603 -2.99342 -2.083137 -1.779615 0.7555822 1.522919 -0.3728012 1.005958 1.914778 2.281059 -1.225694 -0.01293439 0.7387645 -1.816097 1.601892 0.8230869 0.5130098 0.03017868 0.4721306 -1.47099 -0.00447306 0.6802451 1.26764 -264.1331 -27.69657 384.8393 1.31662 1.813951 -1.621708 0.112083 3.066183 -5.12687 -26.40915 -1668.375 5.879075 2.988551 -19.5947
-0.6538901 -0.5609688 -0.4842185 -2.143545 -2.472392 -2.159535 -1.734798 0.1633785 0.6562459 -0.454858 1.109886 2.326968 -0.9225182 -1.157749 0.7925677 -0.01970934 -0.5404214 1.651148 0.2880369 0.256759 0.3049926 0.32988 -1.221672 -0.9377274 0.4796027 0.4872733 -81.32582 19.61949 -46.27186 -0.5212693 -1.360684 0.3095723 -0.5762327 1.589523 0.4397606 -8.35933 846.2417 3.37242 2.055723 -14.02894
-0.1084561 -0.4867637 0.1307224 -2.156399 -2.015691 -1.832733 -1.327457 -0.01316568 1.27227 -0.6886262 0.4379999 2.073499 -0.3769118 -1.470944 -1.704438 -0.2745099 -2.24287 -1.664407 0.1369465 1.063463 1.286021 0.0732056 -0.485971 0.4642242 0.2044262 3.429492 93.32412 -108.6684 -171.4356 -0.008247538 -1.81282 -0.9039744 -0.1146327 4.537495 -3.726604 18.39499 2161.573 -8.829974 1.930654 -7.692511
0.1169843 0.02115659 -0.4186926 -2.476463 -3.318523 -1.322936 -1.381454 0.08929355 0.2752956 -0.3996785 0.6542192 1.541897 0.3703007 -0.5875832 -0.1198374 -0.9257913 -0.8917187 -0.25371 0.489216 0.1538472 -0.7542466 -0.4506337 -1.257323 -1.392007 -0.7389115 3.100354 -98.47901 28.11927 -60.30813 -0.8882156 -0.007463635 0.6098549 -1.620144 4.828301 -1.946571 21.65601 1271.847 5.867313 0.7039761 -34.58816
-0.03853678 -0.206597 -0.381552 -1.555404 -2.102342 -1.764199 -1.750197 0.1558834 -0.478029 -1.089439 -0.28094 -0.03656177 -3.124374 -3.256586 -3.121655 -2.068236 -2.970039 -2.032837 -1.32854 -1.434148 -0.551233 -1.054414 -2.48557 -1.717718 -0.7378334 -0.1570608 67.62065 10.02908 -404.7078 -1.813153 -1.959605 -1.257527 -1.550014 2.901755 -0.177278 -10.82063 4090.044 1.896323 -0.1873676 -37.5538
-0.4615221 -0.5059659 -0.8234838 -1.829252 -3.2256 -2.017065 -2.214 0.3526648 -0.9514986 -1.9339 -0.6551208 -0.1908809 -3.466968 -3.490532 -3.505317 -1.305483 -2.620435 -2.711247 -0.5122785 0.08740977 -0.8499566 -1.412465 -2.717413 -1.692191 -1.777582 -0.8881198 -140.7651 -60.47696 -512.0914 -1.196521 0.3484405 -1.834112 -0.2362916 -2.754137 0.3329385 26.55452 8318.065 2.242134 0.1379153 -4.310522
-0.4228386 -0.8271566 -0.4166353 -2.071522 -2.893795 -1.82739 -2.272508 -0.2089698 0.03445546 -1.029958 -0.7473706 1.694898 -4.627054 -1.474246 -2.32935 -0.4666749 -0.07026023 -0.4536645 -1.024663 -0.2524706 -0.4019577 -1.372994 -1.945592 0.00945596 -0.4317325 0.5284387 462.6497 -201.0122 -1250.387 -0.9207802 -2.258829 -0.9990181 0.1582046 -1.323602 -2.15127 21.59332 10974.44 4.236724 3.830028 -3.455894
-0.1942986 -0.8009645 -0.4344933 -2.423328 -2.850334 -1.36049 -1.551407 0.261349 -0.2861449 -0.4900594 -0.4305468 1.294447 -3.022197 -2.19082 -1.550013 -1.440411 -3.278886 -0.6336108 -0.9433076 -0.8223924 -0.914269 -1.410643 -3.043357 -0.8609669 -0.7222063 -0.7861148 641.9099 -65.57621 -1610.801 -3.849203 -0.3403739 -1.904066 -1.167043 -7.706551 3.930109 -48.00015 12594.95 5.410492 2.538495 -25.76895
-0.8718904 -0.8463979 -0.252088 -2.394473 -3.06065 -2.000896 -1.520265 0.1789757 -0.4807278 -2.338431 -0.6531095 0.02871366 -2.93101 -2.523219 -1.007121 -2.465928 -2.443784 -3.646075 -1.504362 -1.765079 -1.555346 -1.196565 -2.817241 -2.256875 -1.465511 0.6345408 1664.535 -33.36758 -2162.958 -1.919294 -0.5972514 -1.224694 -0.8272324 2.607378 -0.7991122 7.629814 7165.397 -0.4341979 0.1229409 -12.95052
-0.6847122 -0.435633 -0.3028374 -1.095981 -2.73344 -2.268465 -2.194677 -0.01240866 -0.6000736 -1.384747 -1.224076 -0.5383913 -1.675827 -3.180502 -2.094947 -2.455049 -2.511037 -2.238697 -1.201902 -1.775981 -0.2197787 -0.7633011 -3.183712 -1.149546 -0.6018007 -1.133271 1818.993 76.74915 -1972.119 -3.011662 -0.4751895 -1.665899 -1.029825 7.692258 -4.397307 42.02374 3111.874 0.9406507 3.775746 -0.3401607
