factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
1.731347 -1.173328 -1.008217 -3.229959 -3.741638 -1.81634 -0.4993072 0.4372773 2.166402 0.3880364 0.9270989 1.371796 0.7744221 1.401042 -0.231669 2.290479 -1.323811 1.329085 1.341896 -1.367993 1.273682 1.303368 2.629012 0.9508215 1.735203 3.207808 261054.3 -9.400907 -6522.094 -2.48021 -4.429545 -0.4504393 -3.153164 -5.21046 -9.926551 -11.51719 19281.86 66289.16 -0.5497986 -63.86723
1.147021 -1.5608 -1.982545 -3.53461 -4.736954 -1.747588 -1.662374 0.1753238 2.648907 0.8086026 1.547797 2.639814 0.4585049 1.495146 0.3334895 0.9161753 -0.2852476 0.9140879 2.657803 -1.10063 1.734337 1.719886 3.052764 0.07333419 2.057395 0.377975 127566.4 42.80275 2125.083 0.6570489 -0.3526539 2.717145 -2.739106 -3.058544 -3.757379 -4.944791 220345.2 152330.3 8.06033 19.77973
0.8436269 -2.283032 -2.419691 -2.525024 -3.880513 -1.471723 -0.9204677 0.5176765 2.430239 0.6672903 2.532793 2.852363 1.627356 2.160414 -0.6543866 1.289257 1.321833 1.057899 2.63266 0.5258417 3.265842 1.649849 2.551909 1.99872 3.588246 -0.002163521 66800.13 28.48788 50249.31 3.371384 -1.807286 1.995974 0.1920214 0.3932994 -9.43054 -0.298851 9802.313 -95567.43 3.986643 -82.10015
1.112152 -1.414159 -1.251069 -3.407085 -3.772094 -1.674678 -0.8339686 0.2338578 3.443601 1.028129 2.952779 2.681839 1.279957 2.475626 -0.03313894 2.264645 1.662709 4.760403 3.445541 -0.03336581 3.641964 1.591388 3.264103 0.7723769 2.945303 2.545947 179351.8 38.45251 -152714.2 2.751583 1.447214 4.275517 0.007931842 6.062388 -5.286027 17.42473 38636.14 -26736.45 8.0159 -45.89561
1.358842 -1.880645 -1.747281 -2.849774 -3.811504 -1.892175 -1.207436 0.02352604 3.32641 1.72642 3.184067 3.731598 1.396056 1.487979 0.3319844 1.860504 -0.324116 5.032057 2.423475 2.543508 3.570915 2.436277 2.892523 1.302159 3.134092 3.024395 67605.53 -105.6864 64222.3 1.327801 3.038691 1.339786 -2.697588 3.147069 -1.397698 26.93697 -116515.7 -15662.38 9.086061 -10.39615
1.208824 -2.641 -1.866172 -3.527099 -3.966303 -2.036004 -1.354656 0.5809471 3.081575 0.8368849 2.795983 1.074348 -0.1812375 2.29051 0.5362514 1.39036 -0.868164 3.308841 3.38677 0.3513604 3.285561 2.06434 1.970273 2.532251 2.900976 1.090445 -16302.86 -38.23913 20123.6 3.100678 3.97873 2.836455 0.8410462 1.302894 -1.990844 6.364594 -137677.5 -88919.95 10.96278 36.07746
1.872867 -1.4586 -1.553808 -2.540379 -3.101481 -1.600171 -0.8312481 -0.1525558 3.197563 1.467472 2.810064 3.073739 1.73341 1.975818 2.750819 1.269035 1.97539 0.9076661 3.399607 1.844695 2.930032 1.6468 3.722079 2.332557 1.999532 -0.2329889 28525.01 43.21386 55115.27 0.5103097 2.577088 1.244808 -3.741212 -1.165499 -7.529765 -8.872993 72628.43 -29496.04 8.525376 -84.18413
1.049888 -1.42339 -0.9741715 -3.309297 -4.094187 -1.565351 -1.844795 0.4106561 3.172009 0.6678343 2.020022 1.878678 1.731009 1.579641 0.09731141 1.416842 -0.2678336 2.290462 2.40547 -0.6153316 3.558991 2.089758 3.018545 2.885159 3.048215 3.050922 -76648.47 17.77554 -140069.4 0.08625995 4.107239 2.383972 0.07550966 -3.469618 -13.73497 22.00709 -27963.38 -144552.3 6.145498 -11.2342
1.032633 -2.328957 -2.070475 -3.588749 -3.621617 -1.411232 -1.254839 0.06425987 3.263741 1.789642 2.203655 2.140912 2.082405 1.64207 0.3880749 2.481124 2.530066 1.168612 3.253345 -0.05478787 2.411457 1.84239 3.161764 1.735169 1.931424 2.21611 45594.09 50.87591 -17729.41 1.339024 1.864212 4.020738 0.4742618 -4.808997 -10.93805 21.24118 132727.1 56339.93 4.317408 25.86418
1.22007 -2.855053 -2.140924 -2.715605 -4.194603 -1.877195 -1.118748 0.2671401 1.577028 0.4515343 0.2593688 1.049718 0.5287548 0.2321205 -3.881415 -0.1664661 -1.695281 -0.4326576 2.430738 -1.371675 1.780363 1.196814 0.5886917 1.940474 1.379817 -0.1128122 -43849.44 -17.49372 -12038.01 1.007052 5.187808 2.45055 -2.042086 0.5078312 -2.198479 29.09747 -171098 1806.523 3.967938 -8.32071
