factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
0.006040226 -0.3455271 -0.4349095 -0.1348978 -0.1994587 0.1923368 0.09562714 -0.00838453 0.1817573 0.0112208 0.01178174 0.1431999 0.2276228 -0.0193586 -0.1479314 -0.0472636 -0.1373332 0.3375064 0.1394349 0.1488723 0.1432193 0.2954572 0.1298145 0.1001947 0.1611035 -0.1977348 37407.19 2.115348 -73843.12 0.03322675 -0.02760228 0.1399841 0.06389958 -0.7530831 0.04195068 0.7127013 -70294.57 221674.6 -0.3022677 -1.728014
0.02586043 -0.369782 -0.4917687 -0.1443455 -0.2582074 0.1946456 0.09477319 0.0491309 0.06793976 0.02879625 -0.07506146 0.1376363 0.2285849 0.09232262 -0.07410844 -0.03304036 -0.2008845 0.2755814 0.06491306 -0.08537068 0.1617079 0.2446639 -0.003224214 0.0601936 0.1767349 -0.2780927 60264.29 0.3127881 136934.8 -0.07549056 0.3747003 0.02639213 0.04696673 0.170907 0.3897598 -2.474053 -120906.7 184394.4 0.2877889 4.274281
-0.0139367 -0.3940026 -0.4332128 -0.1516361 -0.2630347 0.1991128 0.1531696 0.04386759 0.144409 -0.05881206 -0.118962 -0.02000828 0.2141816 -0.2674394 -0.2844738 -0.02575195 -0.2404257 0.1640723 0.05022661 0.0005328034 0.07929569 0.1378648 -0.0113891 0.0154821 0.20599 -0.2107921 -75381.47 4.233155 27048.49 -0.4048361 -0.03591269 -0.2859964 -0.1872073 -0.09592647 -0.2051933 -0.6667026 19203.18 -37515.37 0.2974353 3.190389
-0.0032129 -0.3542513 -0.4071751 -0.2188222 -0.200385 0.126046 0.06978028 -0.0003687575 0.1103735 0.07782296 -0.04867088 0.1113117 0.2660587 -0.1231891 0.1399219 -0.01518338 0.0852956 0.2525636 0.08103589 0.147363 0.2366414 0.2680601 0.1817557 -0.03488584 0.1901796 -0.08703461 59610.72 1.896818 -59461.04 -0.1714223 0.6936349 0.2633874 0.06580838 0.3768745 0.09384521 -0.6985771 36858.6 32657.65 -0.8774119 7.350595
0.0608859 -0.3581025 -0.420087 -0.1684712 -0.2004261 0.240006 0.1466356 0.02278465 0.1343238 0.01897173 -0.02653629 0.2859797 0.2868877 -0.07027243 -0.04503073 -0.01574053 -0.07728329 0.2380147 0.1146581 0.1281522 0.1277597 0.2012066 0.00485848 0.1719438 0.1767724 -0.3756801 96101.53 6.720683 2452.033 -0.3524713 0.2420004 0.4162166 0.09577963 -0.2434553 0.8913418 -0.9745392 107469.9 142535.4 -0.06165375 15.32588
-0.04021245 -0.3632251 -0.5501212 -0.121844 -0.2146364 0.1232647 0.06322751 0.06587079 0.3628795 0.1291343 0.1840906 0.3732525 0.1642165 -0.05666618 0.04988484 0.1272481 -0.1422716 0.5856077 0.1654398 0.08667223 0.2971765 0.314651 0.2631469 0.143308 0.3181821 -0.1287164 -94680.2 -3.927893 -113915.1 -0.1327787 0.3023003 -0.1452461 0.09914422 -0.4125302 0.6299627 0.5993764 106246.1 54406.85 -0.3300299 4.269796
0.00902032 -0.3723831 -0.4548602 -0.2224763 -0.286994 0.1194869 0.03905102 0.06473805 0.3844261 0.1757886 0.122507 0.3064955 0.379415 0.1305196 -0.184284 0.1933493 -0.1550246 0.5975759 0.2774659 -0.08315733 0.2449394 0.3427013 0.2000768 0.3618885 0.4339289 -0.01454452 -95012.39 -4.167623 -165172.7 0.01979464 -0.09709962 0.07035385 0.03721019 0.9028323 1.029356 0.136267 33077.66 39350.93 -0.3096252 9.607482
-0.04398163 -0.378001 -0.4519708 -0.185549 -0.2316132 0.1513389 0.06933722 -0.008876909 0.265444 0.2422734 0.2417152 0.2668984 0.1405691 0.1447534 -0.06687876 0.0818831 0.03883398 0.4656018 0.3446383 0.162992 0.2989703 0.3373777 0.2994309 0.1230734 0.3201469 -0.1543945 -44567.75 0.4188857 -156439.9 -0.01146801 0.7169056 0.1981554 -0.0009066765 -0.0244739 1.057696 0.09712764 106440.8 -165073.9 0.2844019 -3.584673
0.04408209 -0.3537086 -0.463826 -0.1291613 -0.1863226 0.1773504 0.10583 -0.03531843 0.1834616 0.1732051 -0.007851402 0.1950108 0.257635 -0.03273481 -0.01608489 0.07112651 0.03536786 0.1549679 0.1853414 0.3119134 0.1944689 0.2634841 0.1389572 0.2465822 0.2860844 -0.2464022 114014 5.317905 -122674.4 0.1264587 0.5580006 0.338347 0.281183 -0.02794457 0.8725035 0.411441 95165.52 135837 -0.01125659 -1.474159
0.04806825 -0.3133916 -0.3288059 -0.1320346 -0.2087537 0.2385346 0.1284559 0.05219579 0.1750518 -0.01374934 -0.1041293 0.0306351 0.1013368 0.07023471 -0.07532453 0.04208465 0.1455789 0.1721739 0.05937565 -0.0812675 0.2425905 0.1441096 0.1728753 0.01541028 0.1083025 -0.1859116 14033.32 8.860388 -38434.51 0.03806928 0.1835138 0.08300945 0.07244776 -0.104679 0.5046529 -0.4103475 -166658.6 -43964.49 0.05155481 8.721602
0.008319464 -0.2855518 -0.5001859 -0.17369 -0.2372782 0.1876623 0.1003167 0.02722196 0.2076556 0.04950829 0.09828024 0.2219927 0.1272029 0.1360809 -0.1328173 0.04737042 -0.1021147 0.08762852 0.1957995 0.05456066 0.0813088 0.2743718 0.04555528 0.08307027 0.1748977 -0.1412701 -162485.1 -0.4688118 16922.26 -0.1854604 -0.166701 0.1934443 0.1020453 0.2708475 0.6885614 0.934152 26493.93 103883 -0.9638096 -5.473516
0.006687382 -0.3297148 -0.3868215 -0.1365248 -0.1520689 0.2116128 0.1260558 -0.03048696 0.1079315 -0.05089546 -0.06719374 0.0942697 0.1299505 -0.05015489 -0.01705119 -0.03177823 0.09183874 0.03357716 -0.001766566 -0.03368858 0.02421142 0.1536699 0.1309429 0.07982998 0.1361409 -0.3747488 123616.5 4.116528 50046.46 -0.2399655 0.0916493 0.07968697 -0.341143 0.1038344 0.1410283 -2.29483 138700 151659.9 0.3997948 4.611518
0.03348948 -0.3561771 -0.3699277 -0.1592406 -0.1747095 0.2026999 0.1750897 0.04448435 0.07236982 0.01326342 -0.1868163 -0.04594203 -0.05530931 -0.1052791 -0.3542592 -0.07558116 -0.2121623 0.2314633 0.005263998 0.053407 0.04685061 0.03180094 -0.1015137 0.1254918 0.1525444 -0.3263311 71561.95 -2.283817 -96829.28 -0.06179984 -0.1951209 0.1627382 -0.2457763 -0.7382255 0.8498274 -0.693082 -185823.4 -120636.3 -0.0216621 -8.82685
-0.01762768 -0.3983849 -0.4420508 -0.1083221 -0.1582162 0.1925906 0.1448816 0.002394431 0.14927 -0.05244528 -0.06796293 -0.001347927 0.1224466 -0.1220333 -0.08592279 0.01701763 -0.2201065 0.4063202 0.08460237 0.295777 0.1289819 0.1689239 0.1104376 0.1231236 0.218166 -0.4379669 20239.28 4.674766 -12408.92 -0.09909792 -0.1278539 0.08336428 -0.203761 -0.3428116 0.3413937 -0.8384788 67774.38 -45869.65 -0.06935516 -4.66159
-0.005101424 -0.4277463 -0.4859089 -0.1896979 -0.2490372 0.2369899 0.1041231 -0.02728972 0.09651849 -0.07561835 -0.1160543 0.1528148 0.05964184 -0.009548467 -0.08816574 -0.1362008 -0.1006745 0.4809086 0.1011518 0.1244409 -0.03652697 0.1146238 0.03501225 0.1151842 0.08088243 -0.4506096 -124807.2 5.183224 -157155.6 0.07446259 0.3915031 0.1798723 -0.005407937 -0.2594982 1.285114 -0.3364123 18368.88 114551.4 0.5302347 -2.954322
0.01729811 -0.4400797 -0.5611809 -0.1297273 -0.1999163 0.1458215 0.04080777 0.03607298 0.117581 -0.03503489 -0.1371632 -0.08276347 -0.01512882 -0.1917812 -0.3369111 -0.06819544 -0.153893 0.2305176 -0.03492683 -0.2090107 -0.04143879 0.1604694 -0.158886 0.006388434 0.08984486 -0.3059289 59125.79 -2.560336 -55772.5 -0.3006544 0.5982966 0.2542087 -0.1881114 0.2388471 0.633879 -0.8852801 -148674.8 -221848.5 -0.5130938 -6.071972
0.03872735 -0.4182587 -0.5267249 -0.1701018 -0.2369653 0.1220414 0.07320878 0.03122977 0.1068522 -0.08521626 -0.06845242 0.1323498 0.06894657 -0.1850381 -0.4039801 -0.07492492 -0.1156547 0.002232962 0.02447986 0.09538301 -0.08120039 0.05997812 -0.09661175 -0.01112771 0.05560119 -0.194906 -34370.4 2.735813 74129.65 -0.3363894 0.1965765 -0.08002549 -0.09238918 0.5321625 1.603251 -2.728798 44946.83 -166950.6 0.1900576 -2.86226
-0.04566932 -0.2984245 -0.3755727 -0.1554899 -0.1802777 0.181091 0.08872548 0.02732969 -0.004320899 -0.1089733 -0.2211914 -0.008035422 -0.1574554 -0.1683505 -0.5464915 -0.2216029 -0.06393514 0.2219784 -0.1293685 -0.2499072 0.08489014 0.06688225 -0.1801349 0.2046172 0.02970548 -0.4869099 -18606.69 -3.336292 -78306.56 -0.03924511 0.2060382 0.2046678 0.03144586 0.5356447 0.6374219 1.883459 -35038.08 -62185.52 -0.4658006 9.407493
-0.03612246 -0.3647051 -0.479828 -0.1523784 -0.200487 0.1692909 0.1752446 0.06855287 0.02804541 -0.2399866 -0.212849 -0.01927233 -0.04944611 -0.3078161 -0.2245559 -0.1401833 -0.1040744 0.3004714 -0.02458505 0.08646726 -0.05675944 0.01735514 0.04622504 0.02444001 0.04725803 -0.2888038 98046.93 -1.161617 -81007.6 -0.1286113 0.2505148 -0.1171064 -0.334723 -1.445324 0.5488121 -1.938454 -215199.8 29965.03 -0.1821863 3.46335
-0.0004682 -0.3711212 -0.4546301 -0.1524687 -0.2451683 0.1237951 0.04371886 -0.00564729 0.1242253 -0.0209922 -0.1150663 0.1681268 0.1634019 -0.07594356 -0.1595879 0.03828194 0.06890414 0.2965213 0.02548453 -0.1412203 0.1415387 0.1011824 0.06982276 0.2612572 0.2116206 -0.2843588 49939.58 4.008175 55719.88 -0.3327671 0.2564591 -0.1001106 -0.1625466 -0.2623331 0.5885487 -0.04096956 171103.5 197442.6 -0.3433134 -0.3799768
0.07366444 -0.3144308 -0.414127 -0.1564109 -0.20794 0.2258237 0.09927696 -0.03536444 0.09223808 -0.1119856 -0.07627641 -0.0122309 0.105651 -0.03495211 -0.54611 -0.1048362 -0.3063628 0.281413 -0.06155565 -0.1383699 -0.1220777 0.07204611 0.01927753 0.1171022 0.02413678 -0.190911 57978.07 1.769149 10833.74 -0.1446038 0.4162997 0.08636375 0.06348366 1.046147 1.602535 -0.06985002 101629.8 32981.92 0.8600257 -1.139022
