factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
0.855081 2.386885 3.062788 -2.189706 -2.183014 -3.188716 -2.24766 0.3028711 0.08011313 0.6220069 2.873698 -0.3547186 -1.014125 2.158724 -0.7287577 0.8542726 -0.8139667 0.3599069 1.806987 0.357485 -0.08508295 -0.2041917 1.708932 0.3441583 0.2035363 5.353716 -59639.49 39.82992 -5249.786 0.2973369 2.363657 1.790633 1.243476 0.6758389 -13.20912 16.16181 115495.4 -73042.14 6.106294 35.96293
1.355152 1.938624 3.991805 -2.327522 -2.873727 -3.059171 -1.948047 0.03816257 0.2584967 0.1629881 2.186686 -0.03644845 -2.782025 2.264681 -0.2603049 2.392092 1.927925 1.078963 1.927175 -4.367261 0.1915818 -0.1411848 0.04921047 -0.7351619 0.9122952 1.482058 23861.05 51.13399 -71642.09 4.079302 -0.1396987 -0.8255568 -1.317937 -11.7211 -11.52938 9.022186 -63966.53 -151263.9 7.554039 57.35013
1.585014 2.95282 4.842843 -1.383293 -1.152312 -1.945435 -1.042113 -0.1900118 -0.008542299 -0.6118905 2.401642 -1.100486 -0.3300632 0.183687 0.1132817 0.7334011 2.132517 -1.387344 0.7088738 -2.308432 0.5282018 -0.9225283 0.2255384 -2.897353 -1.183648 0.3258703 -35701.94 37.8229 -60651.71 3.593254 -4.355774 -0.004581659 -3.214522 -3.263607 -13.08207 -3.154742 -27391.84 157307.6 11.17213 -76.73018
1.643486 3.531133 4.441846 -0.02397713 -0.629881 -1.975028 -1.116815 0.6233142 -1.117807 -0.8940717 0.1619522 -1.147409 -2.959506 0.02963858 -1.722757 0.2779217 -0.07446107 -3.981047 -0.6739989 -6.821282 0.02943847 -1.132444 -1.366313 1.702445 -0.6905766 -0.5994258 -69605.95 2.046556 -15535.85 -0.9584304 -3.615205 4.283702 0.7380807 -6.358828 -5.640009 -1.583751 56820.66 -79219.23 3.974033 -42.76954
0.7441247 4.282876 5.159864 -1.812868 -1.291141 -2.048968 -1.187482 0.1172768 -0.2856877 -0.4905565 1.252636 0.8019836 -0.8903991 1.149079 0.315428 2.445047 -0.1388227 -2.483495 1.017612 -2.253192 -0.346802 -0.3305332 0.3746254 -1.167278 -0.04133783 -0.4121313 128469.5 -121.3237 124660.6 4.137527 -6.360322 0.5022552 -0.4118461 5.883831 -15.12521 10.87589 37848.43 62397.17 6.062444 130.902
1.166666 2.939286 5.008431 -2.056555 -1.264205 -3.10224 -1.947345 -0.6657756 0.3174333 -1.249695 2.731258 -0.729465 -2.86068 0.8174937 1.272229 0.5807588 0.2528181 2.074308 0.8162938 1.613767 0.2939786 -1.324804 -1.153939 -2.559072 -0.5043257 1.366318 65021.22 -48.32178 3828.444 1.018602 3.06308 2.517271 -3.000818 -3.76487 -9.086169 17.20423 145930.6 -69305.55 1.359614 -19.82695
1.171246 4.158102 5.680375 -1.830865 -1.619551 -2.949926 -2.480685 0.2780562 -0.07669697 -0.5411046 2.848843 0.2748853 -1.938823 0.01056178 -1.378009 1.653046 -0.4598472 1.685125 1.537962 -0.9868776 -0.4895163 -0.05541153 0.3187463 -1.353653 -1.846937 1.915359 -176414.1 -8.667452 70126.22 0.4018493 2.104879 1.53281 -3.677959 -1.374926 -14.23809 26.32668 30250.98 21866.76 7.61787 -7.676067
1.128386 2.763871 4.088321 -2.151337 -1.775936 -2.871675 -2.779322 0.7942484 -0.3115932 -1.052836 1.869903 0.2407548 0.08552868 0.5901066 -2.586583 1.811871 0.03492439 -2.419834 1.695946 -1.631004 0.2449552 -1.976349 1.379164 1.886323 -0.07100094 1.410733 26725.38 -2.415777 -46994.85 0.0580042 -1.039679 0.4786074 -4.914453 -1.920625 -28.29366 -6.296117 -14610.08 -75673.78 8.637398 -47.78523
0.7535891 3.347235 3.759122 -1.14955 -1.628094 -3.046962 -2.042349 0.478136 1.180176 0.6574085 3.088694 1.803715 -1.273215 2.852629 5.385997 1.715167 1.152618 -2.909554 3.068263 -4.22528 1.349003 0.3686055 1.342477 -1.682548 0.3908646 6.802511 39208.76 -23.25594 -162210.3 3.33812 -0.7365183 -0.3137932 -6.185085 -8.964491 -23.08891 -2.498273 -47753.95 -99971.62 11.33695 -22.86705
0.3306749 3.743237 5.412529 -1.116352 -1.896237 -2.500138 -1.958009 0.2852853 1.085741 1.431535 2.86654 1.404606 1.107257 1.937374 -0.9171492 1.737886 0.7297161 4.567738 3.312171 0.967943 2.205811 0.5715141 3.37677 2.937015 0.7873649 5.29353 -137827.1 52.90759 -4802.225 -0.2794059 3.109351 2.694865 -1.942634 6.227195 -16.68441 25.62501 47049.72 87551.32 7.976658 23.24956
0.8705199 3.288907 4.579971 -1.51942 -1.901819 -2.372547 -1.062116 -0.188598 1.489123 1.227839 3.6895 2.079999 0.7837577 2.381839 3.295913 3.057082 -1.079113 2.268736 2.915173 1.92994 1.126332 1.462076 2.710547 3.941954 1.81477 3.657631 -12616.64 -54.21606 -110495.7 2.548996 1.229499 5.801064 -0.8752599 4.805535 -24.39853 15.11506 -66295.98 -23068.7 8.586483 91.72879
1.560775 3.755927 3.9003 -1.301515 -1.71519 -2.396773 -1.494629 0.5478267 0.2921833 0.3203031 4.151584 0.9678173 -2.969021 2.579745 -0.8291922 2.469118 1.479233 -3.539257 1.12648 -0.6217435 0.4092073 1.015438 1.454482 5.262685 1.581772 5.110034 -32552.92 -2.787459 45188.23 5.896631 4.906558 4.648532 2.383391 9.447733 -16.47058 7.337714 -73859.17 -1761.138 4.428717 -73.48425
