factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FEH_HGD1 factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
0.3069621 0.5242557 0.427759 1.453999 2.790231 0.8303774 0.3185213 -0.2825972 -0.3058685 0.5489702 0.4668241 -1.648177 -2.209059 -0.5388176 0.6234653 0.05232751 0.2421065 -0.3110289 -0.07127246 0.3061824 -0.4704565 -0.06811969 -2.133193 -0.4019329 -1.611357 0.05760368 0.5104775 -1.350411 0.1893907 -0.5407818 -1.192443 0.4565381 -0.4210878 -0.8876347 314.9359 -43.0372 32.42879 -0.4554925 -0.9978099 0.7115348 0.3191355 -1.306815 -1.347077 14.1223 -2613.94 -3.207662 0.4709348 -9.348621
0.03696318 0.3136789 0.1958566 0.8808874 2.186057 -0.5796674 -0.8561401 -0.5111644 -0.7182639 0.008551113 -0.3825808 -2.581333 -2.559089 0.1338037 -0.3727894 0.6675661 -0.1533614 -1.591821 -0.4066946 -0.6054349 -0.4610994 -1.719718 -2.984593 -0.6746342 -1.806508 -1.520177 -0.1961028 -2.735331 -0.7143285 -1.194508 -0.7890131 -1.129813 -1.043844 -1.961811 134.5897 -22.39912 310.509 -1.109691 0.5329563 0.2889937 -3.694029 -2.80542 -4.849695 16.381 -3676.01 -0.2730059 -2.621614 -2.630567
-0.001827922 -0.1028312 0.1789071 1.903113 3.018695 0.493758 -0.2103245 0.01469048 -0.257474 0.5475085 0.06198417 -0.9580809 -1.647653 0.4581704 0.3543133 0.4188115 0.06735312 -1.616316 0.04324811 -0.9226731 -0.6835687 -1.649478 -2.079681 -1.091143 -1.746869 0.6349082 -0.4287351 -1.795349 -0.8893774 -1.428284 -1.146858 -0.9047909 -0.6500546 -2.028691 157.9387 -44.10092 44.8172 -2.678927 -2.058102 -0.2809243 -2.71496 -0.3926537 -1.910759 4.986647 -1124.463 -4.211349 -0.4330594 -11.24367
0.1942198 0.4211271 0.00304947 1.933419 2.621257 0.03191527 0.452496 0.005113816 0.2878233 0.7722226 0.6713401 -1.361296 -1.364877 0.01518618 0.5198921 0.3888635 -0.8329351 -1.818355 -0.8592358 -1.17571 -1.785172 -2.303436 -3.141508 -1.803173 -2.67947 -0.3306189 -0.3331048 -2.781858 -1.540083 -1.842368 -2.289992 -1.404178 -1.482556 -3.336917 42.99623 -1.126951 -19.10497 -2.000185 0.5292152 0.1025784 -3.349913 -4.232243 -1.558569 25.97584 613.0872 -6.194672 -2.857317 18.96358
-0.1305489 -0.1808903 -0.2085873 1.655431 3.085758 -0.1214055 -0.3143162 0.08292691 0.6886473 0.3302286 -0.1064427 -1.155942 -1.370081 0.2758926 0.624651 0.5887106 -0.2997065 -1.926996 -1.039764 -0.4687222 -0.9663197 -1.104039 -3.115855 -1.781829 -3.256164 -0.4165744 -0.6791785 -1.821993 -0.6546705 -1.784871 -0.9137829 -1.059478 -1.000586 -2.639672 273.372 -12.7669 354.4591 -1.652072 -2.072473 -1.096187 -3.849028 -3.718675 -5.463964 -2.336985 -6875.061 -4.794445 -1.652687 -4.581455
0.3718006 0.1579992 0.505558 2.299874 3.205964 -0.08626557 -0.23931 0.4483679 0.5526436 0.2564436 0.1970559 -0.7114857 -0.8825177 0.6281829 1.146493 0.6564609 -0.4627472 -2.185673 -0.9719717 -1.201902 -1.203533 -1.480129 -3.851527 -1.794858 -2.539732 0.02843483 -0.2448384 -2.504145 -1.38285 -1.887586 -2.160177 -1.820439 -0.9332941 -2.406935 197.0373 -28.8665 585.5596 -1.980088 -0.04759011 -0.1403302 -3.385953 0.01601402 -4.549713 8.080208 -8835.008 -9.535229 -1.222392 17.33855
-0.2490677 -0.2353651 0.06871266 1.763878 3.055732 -0.1236458 -0.7390491 0.1692627 -0.2261799 0.6593533 -0.4128898 -1.152927 -1.686835 0.4793803 0.7941146 0.6259066 -0.001445676 -1.647639 -0.233016 -0.4493252 -2.111142 -1.173278 -3.576148 -1.448777 -2.87898 -0.6821662 -0.4833793 -2.929182 -0.5199727 -1.201365 -0.8532695 -0.3603861 -1.079896 -2.745921 383.5715 -46.43439 384.3307 -1.903551 -1.996977 -1.314868 -2.37945 -2.213496 -2.439372 -9.954848 -7641.246 -4.252602 -0.7367734 -15.30999
-0.007954539 0.02549993 0.2622167 1.202431 2.723198 0.09547065 0.2678513 -0.5705976 -0.7695069 0.4299326 0.2752768 -1.995168 -2.414579 -0.2047908 0.3981298 0.3284135 -0.2955598 -0.7864178 -0.1421314 -0.5655511 -0.49098 -0.9150896 -2.514796 -0.4854294 -2.244332 0.5748092 0.3669339 -2.448815 -0.6227791 -0.958003 -1.00589 -0.1057527 -0.8386821 -1.238153 -262.9643 -27.9632 319.2369 -0.7363944 -0.5208144 -0.7981383 -1.854698 -1.562003 0.193313 7.391872 -1028.933 -8.136332 0.2369433 -17.3152
0.2768275 0.1379626 0.1270123 1.406436 2.732179 -0.1789322 -0.08825687 -0.7878318 -1.060012 -0.1364262 -0.04470636 -1.56919 -2.384495 -0.02679776 -0.3038642 0.5821764 0.02360577 -1.342771 0.1917288 -0.1614439 -1.565992 -0.8854007 -1.854438 -0.1411255 -1.831863 -0.183084 -0.0626703 -1.948681 -0.417463 -0.8619488 -1.039217 -0.9152552 -0.7216514 -1.450194 -261.6618 -9.46353 174.7921 -1.714025 -0.2427841 0.7666479 -1.572256 -3.645221 -2.114755 7.956444 1911.836 2.737303 -1.789931 1.646361
0.1993427 0.4759483 -0.2615888 0.5375541 2.038221 -0.3379856 -0.3895797 -1.010178 -1.276615 0.03142975 0.3032142 -2.683391 -3.148444 -1.177259 -0.6513053 0.6245456 0.9659355 -0.9335751 0.5734356 1.047679 0.7124859 -0.7726375 -0.5278968 -0.4250264 -1.434727 0.7158776 0.3416423 -1.608158 0.03460386 -0.7262793 -0.5833838 -0.5992744 -0.1007161 -1.304582 -516.7466 -25.18917 278.2676 -2.48654 -0.1797703 0.8380926 -1.545833 -3.591145 -6.632027 20.72561 2865.503 -4.558493 -2.356819 -3.398147
-0.3683668 0.2442532 -0.4333672 0.5603229 2.089863 -0.2634819 -0.613004 -1.269868 -1.333865 0.3357704 -0.02467719 -2.551783 -3.388698 -0.6516662 -0.3328524 0.4301487 1.243761 -0.5041663 0.8913078 0.5337813 0.3343438 -0.01895888 -0.2111036 0.1837393 -0.6655431 0.971245 0.1685336 -0.7576162 0.2338939 -0.19652 0.1428937 0.01193861 0.6660341 0.2074316 -503.5959 21.53408 528.8146 -0.314133 -0.03957662 0.8156235 -1.80339 0.02021815 -5.758396 -4.017194 -49.60829 -4.205287 0.5972609 6.884676
-0.1346495 0.150377 0.1544841 0.3406726 1.727015 -0.0363395 -0.146292 -1.378042 -1.077028 1.013376 0.2471712 -2.736416 -3.229573 -1.277911 -0.2045204 0.5811607 1.48933 -0.0468561 1.880597 0.5194626 -0.1640821 0.4880338 -1.89066 0.5530139 -0.6508027 -0.255144 1.412325 -0.5217898 1.323105 -0.2074869 -0.1171605 1.165361 0.7708329 0.3032998 -419.1487 -36.81104 482.0205 -0.2030351 -0.7890081 -0.1162267 -0.8715407 -5.489634 -4.283267 8.321302 317.1726 7.223087 -2.213698 -6.209865
-0.2590058 0.03310161 0.1093383 0.3454164 2.158304 0.03661131 0.1225203 -1.895535 -1.35164 0.6949354 -0.1217131 -2.620806 -3.163108 -1.246261 -0.7838657 0.6558339 1.734493 0.1936452 0.8412061 1.2174 0.8071733 0.4017185 0.2979506 0.9953486 0.1996198 0.5178463 1.249254 -0.2506975 1.050973 0.4916446 0.5917229 1.647232 1.053243 -0.7805992 -680.6192 28.62084 740.8828 0.06369978 0.5154092 1.604748 -1.614645 0.8990696 -3.188792 -1.551012 -1530.848 1.606118 -0.110562 2.96504
-0.5433966 -0.06541952 0.5262981 0.4325929 1.491808 0.1200626 -0.2022969 -1.264855 -1.52872 0.3535921 -0.2582042 -2.63338 -2.935184 -1.486028 -1.049348 0.7393604 1.892166 0.08490273 1.463877 0.9968206 0.3693222 0.4393243 -0.4814945 0.8436786 -1.214605 0.3770613 1.266407 -0.324701 1.370316 0.3016391 0.01327822 0.6583653 0.7237926 -0.6400708 -394.318 -15.37224 610.203 -0.09832667 1.18695 1.211378 -1.294616 -4.001316 -2.475039 4.814019 -3104.876 5.252924 1.221477 -5.373919
0.2645819 0.5391519 0.4948615 1.10084 2.196984 0.4097467 -0.1341048 -1.311746 -1.037958 0.5522868 -0.09207677 -2.252427 -2.735925 -0.8599183 -0.3325191 0.4931291 2.144921 0.3767701 1.678126 1.602702 1.896524 0.2370977 -2.000251 0.5785946 -1.354683 -0.2413034 1.483258 -0.3281349 1.041671 0.2909435 1.029426 -0.2096253 1.040343 -0.3387203 -552.1235 -43.28495 911.1599 0.7320083 0.8476539 1.407838 0.3524915 1.166555 -3.148241 15.80651 -3753.542 -2.845792 -0.7034664 -2.640494
-0.2339566 -0.08447975 -0.01361348 0.5947063 1.720478 0.2288813 -0.3289724 -1.692624 -0.9129521 0.529049 -0.5831046 -2.55015 -2.956314 -0.825693 -0.3098979 0.7210839 1.838637 0.693288 1.456303 0.9659909 0.8799781 0.4395805 -0.4191204 0.6738691 -0.449982 0.6716995 1.390026 -0.3929188 1.472894 0.3622017 -0.4461132 1.617163 1.249514 -0.6285851 -734.6841 24.97446 751.5603 -0.4816934 1.359378 2.327512 -0.6127173 2.786573 -0.1827612 10.03595 -1024.169 5.304901 2.024638 -12.55941
0.1846007 0.03927566 -0.3516199 -0.02099656 1.547566 -0.1340303 -0.371778 -2.057971 -1.550647 -0.3271541 -0.6473867 -2.42064 -3.408499 -1.421703 -0.8124808 0.5742494 2.422581 0.7737453 1.766709 1.365709 0.4195464 1.429769 -1.001973 1.268531 0.6799385 1.31535 2.205579 1.311211 1.68854 0.6387194 1.526032 2.131925 1.257289 -0.3486724 -532.9871 -7.356979 521.0918 0.4174249 1.442633 1.870397 -0.02703677 0.935515 -4.124854 12.32115 308.4642 1.914656 2.70787 1.164257
-0.252301 -0.1250544 -0.4359 0.6840131 1.575709 -0.523881 -0.711827 -0.9611838 -1.473699 0.1853072 -0.5644275 -2.880005 -3.171815 -1.166961 -0.6470361 0.4271352 1.888183 0.2963342 1.736462 1.785728 0.6262488 0.4923334 -0.4804869 1.308921 0.04799349 1.298512 1.841452 0.2394062 1.047406 0.611712 0.7683284 1.714854 0.9312144 0.3937547 -498.01 -21.43236 601.1313 1.353923 3.040409 2.020958 0.1165118 3.432972 0.9129329 8.924362 -983.8242 8.792468 -0.7460502 2.089999
