factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FEH_HGD1 factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.03354417 -0.04300589 -0.04494993 -0.1003851 -0.09562483 0.2227762 0.3476866 -0.406959 -0.4635334 0.3471459 0.1873208 -0.2253779 -0.3928998 0.06802943 -0.007128782 0.05717889 0.01893803 -0.08130664 -0.08196313 -0.06829717 0.147909 -0.05405123 -0.05817974 -0.09601515 -0.08563191 0.0737491 0.137964 -0.1388461 -0.09879153 -0.09592255 -0.004012942 -0.0944343 0.00184585 -0.5768775 39.27338 1.678573 0.3573386 -0.206527 -0.2869501 0.1651806 -0.159843 -1.061718 -0.1798906 -3.935272 -301.7206 -2.854517 -0.5277653 4.091459
0.04890343 0.05670756 -0.000314093 0.02037572 -0.05061576 0.356685 0.4849767 -0.3605481 -0.5018655 0.3397921 0.209958 -0.1149617 -0.2433681 0.1822438 0.0263197 0.009652971 -0.0221758 -0.05108877 -0.07604749 -0.0764862 0.1015687 0.007870946 -0.03421283 -0.06186347 -0.130283 0.1859461 -0.01635132 -0.05255214 -0.1297552 -0.1118305 -0.03466619 0.03295551 0.0544553 -0.3340545 -39.61781 6.109654 33.69212 -0.06745541 -0.227898 -0.2003425 0.06642794 -0.3484529 -0.02949773 -1.883425 8.027319 -1.188599 -0.4255691 0.9284825
0.01784041 0.06588328 0.07023522 -0.07337457 -0.02126232 0.2359412 0.3236364 -0.28273 -0.4834606 0.3381078 0.191613 -0.1812468 -0.2386228 0.2096784 0.1905882 0.04472518 -0.01390564 -0.1181017 -0.02442388 -0.1875399 0.02546043 -0.1043874 -0.3463611 -0.06376269 -0.1220972 0.1784876 -0.05418496 -0.1809859 -0.07322361 -0.08872265 -0.04835671 -0.1132773 -0.05235945 -0.3723132 -70.459 1.809562 64.42817 -0.1018585 0.2265555 -0.08418749 -0.1647719 0.002125587 0.3528322 -1.538986 64.41632 -0.7333504 -0.5024893 1.477461
0.02336737 -0.04488047 0.06742278 -0.04242887 -0.02631597 0.4084728 0.4701649 -0.4686652 -0.6008501 0.1993376 0.113053 -0.223435 -0.2957277 0.1608172 0.05005148 0.03199647 0.09545765 -0.02330598 0.01948888 -0.02386412 0.001928144 0.06118726 -0.08617301 -0.003586031 -0.3654305 0.2824102 0.10108 -0.08187751 -0.0001993588 0.02077902 0.1231475 -0.1858068 0.1071078 -0.2962273 -132.4816 -8.998452 133.8152 -0.09805846 -0.1179633 -0.007406141 -0.1065922 -0.5253538 0.05613772 0.4564385 -86.86788 -1.898185 -0.2130754 3.482913
-0.06726006 -0.01948426 -0.0361526 -0.1763396 -0.1762144 0.3420056 0.359994 -0.4142294 -0.5742698 0.3548151 0.2094618 -0.3277919 -0.3540303 -0.02017262 -0.01337317 0.05407131 0.1313787 0.08035322 0.07685662 0.01771141 0.09775527 0.1432476 -0.09610335 0.03579148 0.09195318 0.1888177 0.08153799 -0.04290718 0.1505023 0.0799267 0.1932619 0.1368423 0.1513985 -0.3284487 -168.3794 -0.9488636 138.0475 0.03906715 0.0672218 0.1233557 -0.02556758 -0.5450246 0.4268577 -3.13866 266.3703 -0.116263 -0.218675 1.463621
0.00386458 -0.01597724 0.02161355 -0.04497482 -0.05520536 0.2486983 0.4019979 -0.4528121 -0.5688746 0.3956017 0.1412193 -0.1918557 -0.2281807 0.1344427 0.0731796 0.01360399 0.07806291 -0.001781822 -0.01557906 -0.09631895 0.1096981 0.09384643 -0.1019002 0.08130825 -0.01214548 0.4424874 0.1144151 0.1294974 0.1335959 0.1222303 0.1360874 0.2394254 0.03778473 -0.2880853 -178.8733 -1.026969 61.03023 0.1120533 -0.2219632 0.2706382 0.04139262 0.1789242 0.360974 -0.6831191 1276.361 1.552576 -0.3664222 2.87279
0.03746337 0.06009001 -0.004178314 -0.04298985 -0.03490176 0.3774458 0.4387909 -0.3877797 -0.4689532 0.3416943 0.2889069 -0.1903024 -0.3299776 0.1400504 0.06680046 0.0004984413 0.1286881 0.06173224 -0.004300802 -0.01879189 0.1845607 0.02438613 0.08186124 0.09219966 -0.05069393 0.1332115 0.1509339 -0.007314043 0.1038193 0.01152768 0.1659963 0.02913752 0.1310246 -0.4220992 -193.3212 -1.225277 126.0389 -0.04437842 -0.1187483 0.117983 -0.04570292 -0.2963212 0.4947932 -2.844507 706.1153 -2.035433 -0.3586799 2.063211
0.0007061225 0.03446669 0.02404811 0.01218205 -0.02419165 0.3814702 0.4112814 -0.3216519 -0.5041306 0.2992386 0.2216697 -0.1916233 -0.2202653 0.2322451 0.1666111 0.03298379 0.1358005 0.07195433 0.08612885 0.01201853 0.08918904 0.1286316 0.06085518 0.08139886 0.03622529 0.2170601 0.1753164 0.05770227 0.1021032 0.08494528 0.1016013 0.09668009 0.09109467 -0.2402961 -194.6144 6.325425 149.6194 -0.1129128 -0.01611902 0.1711109 0.002410085 0.236907 0.3656562 -1.028393 295.2704 -1.726717 -0.2846645 1.671742
-0.03691249 0.001349224 -0.03699728 0.03114216 0.004771959 0.2676841 0.3435066 -0.325532 -0.3686939 0.2543316 0.1475656 -0.2229175 -0.2450497 0.2227976 0.1317642 -0.02366534 0.1904585 0.07881183 0.2450163 0.092264 0.02804252 0.1450637 0.1585975 0.1672461 0.08625665 0.4189152 0.2365782 0.09640888 0.05996674 0.09110966 0.1958863 0.1901687 0.1708621 -0.0712084 -150.7403 1.319965 141.0009 0.08625754 -0.1292044 0.3209197 0.2547583 -0.5082744 0.3953373 -3.502155 61.39664 -1.765525 -0.2373779 1.853105
0.01887682 0.04039535 0.0274992 -0.085206 -0.08507025 0.2838611 0.3606033 -0.5489933 -0.5782446 0.2044371 0.1661713 -0.2930873 -0.315591 0.07163878 -0.005041955 0.00514829 0.187412 0.1731168 0.06506545 0.1434541 0.1109802 0.2056189 0.0264807 0.1127643 0.1980271 0.3015095 0.1373799 0.06442904 0.1002331 0.1591203 0.1405648 0.1088135 0.1298593 -0.3390416 -71.79369 7.181035 79.58747 0.02484639 0.2347228 0.2447625 0.270214 0.5035903 1.08047 -1.771214 -170.9837 -1.579946 -0.4779245 0.1151977
