factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FEH_HGD1 factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.601415 -0.7517678 -1.026349 0.8679225 2.582032 -2.956944 -3.268793 3.33195 4.563111 -2.127567 -2.084842 0.1622828 -0.73676 -1.510072 -0.9450443 0.02636337 0.3567384 -0.05314208 1.243131 1.012258 0.3641498 -0.5717113 -1.430453 1.038913 -1.273041 -0.5995686 0.8284615 -0.4017734 0.419556 -0.6041868 -0.952105 -1.594893 -0.644749 1.971964 -101.5319 -65.32763 210.7694 -0.4677387 -1.799473 0.3135763 -0.08692134 2.908078 -3.341029 -4.741451 -1926.613 4.129506 5.660851 -1.197408
-0.009045936 -0.04844216 -0.1434851 1.123359 1.707377 -2.198045 -3.331985 2.431248 4.383638 -1.939285 -1.708223 -0.4572281 -1.107012 -1.819916 -0.9680588 0.07337029 0.02415893 -0.7678403 0.4041063 0.7369753 -2.1243 -0.1507346 -0.0799236 0.9329925 -1.887607 -1.967204 0.2064395 0.1192649 0.4699224 -1.089803 -0.4186149 -0.08537416 -0.5820311 -0.2237405 263.5414 -49.17483 17.57049 0.704295 -0.6371537 0.9733333 1.177525 6.235503 -9.446588 10.02388 -2616.972 3.592769 3.759634 4.952281
0.2974545 0.150197 0.1911297 1.124926 2.316478 -1.40984 -2.256218 3.17418 4.30035 -1.719131 -1.851756 -0.2868248 -0.577424 -1.581456 -0.6476571 -0.05346713 -0.2733576 -0.1703738 1.020883 0.2218196 -2.504435 -0.4075498 -1.121676 -0.1540802 -2.277641 -1.909389 -0.0007516199 -0.4222884 -0.237081 -0.6331656 -0.9973973 -1.516752 -0.7163953 1.389589 485.2139 -23.95127 407.0028 -1.975238 -1.733065 -0.8142009 -2.468825 8.642082 -4.285032 2.853523 -9235.876 14.17856 2.068385 -10.8523
-0.04543819 0.3023763 0.2816485 2.420754 3.170105 -1.578624 -1.966842 4.539751 5.06976 -1.703932 -0.9168396 0.4392578 0.2589488 -0.5414023 1.350129 -0.1200673 -0.5754474 -1.678802 0.1238376 -0.8247028 -2.78272 -1.824356 -1.102223 -0.0818868 -1.732401 -3.89121 -0.4797148 -1.064071 0.08384852 -1.180411 -1.362962 -2.008775 -1.218711 1.115755 -553.0574 -115.7107 1036.413 0.1590292 -1.317034 1.21193 -0.5868419 11.57251 -1.790228 -2.258504 -6339.281 0.3935128 2.694116 -13.54299
-0.4158502 -0.4986341 -0.5890849 1.663124 2.92849 -2.034945 -2.609543 3.662317 5.693661 -2.355693 -1.692631 0.6877855 -0.1614229 -0.2278341 0.208566 0.5121107 -0.8315737 -1.409615 -0.1394718 -1.101829 -1.712167 -1.691526 -2.648213 -0.8905478 -2.819337 -1.353722 -1.329907 -1.90956 -1.078195 -2.434026 -2.361106 -1.672645 -1.510561 0.4476458 -326.6033 3.447202 888.4386 -1.790711 -0.5769661 0.259553 -3.100572 -1.908402 -6.010979 13.56038 -6275.291 -3.392286 1.07706 -28.94697
0.05597798 -0.648639 -0.2868203 1.799503 3.306293 -1.784571 -2.441878 4.065278 5.196866 -1.100959 -0.7281898 0.2700742 0.1058322 -0.2049592 -0.2962022 0.01428378 -0.8355338 -1.627499 -0.235378 -1.024552 -4.000443 -1.301606 -1.793929 -1.146017 -1.988894 -2.232575 -0.7115182 -3.054688 -0.5375104 -1.900758 -1.484172 -1.895489 -1.37196 0.4081591 98.38369 -9.937818 212.2823 0.4054623 0.3739899 -0.6462927 -1.976831 5.891653 -8.155274 12.78364 -3751.731 -2.877615 0.04109896 -16.19715
-0.5549637 -0.7138924 -0.5223132 1.256426 2.095957 -2.368444 -3.301332 3.879692 4.852685 -2.510342 -2.92629 -0.2059037 -0.07144197 -1.447912 -0.1887409 0.1925193 -1.386845 -1.433973 0.09516664 -0.6725659 -2.988518 -2.136272 -3.903069 -2.157077 -0.5572186 -2.193494 -0.7214295 -2.466838 -0.7255722 -1.998169 -2.062802 -2.601143 -1.473997 0.3745141 294.6774 36.39359 -457.9128 -1.930115 3.57186 -0.7856056 -2.82638 -5.561089 -3.336325 10.15263 2534.691 -8.670924 1.833537 -6.897071
-0.5110065 -0.7850668 0.3550457 1.768918 2.865225 -1.881518 -2.760046 3.546169 5.632458 -2.156847 -1.380184 0.4850095 0.1311817 -1.058994 -0.4619222 0.2069026 -2.193934 -2.682295 -1.76348 -0.6891706 -4.234631 -2.838679 -3.108022 -2.502118 -3.429785 -2.839693 -1.948655 -4.069048 -2.168361 -2.791839 -3.816071 -3.423475 -2.808556 -1.712716 525.0657 -28.90449 -447.6115 -2.897568 -3.17422 -2.080385 -5.042242 -5.856829 -10.56336 27.35384 -195.1671 -0.7107453 1.954658 -5.120885
-0.4992899 0.02900846 -0.7518987 1.547552 2.389997 -2.021537 -2.36856 3.115231 4.382861 -1.923489 -2.09554 -0.1731799 -0.2501911 -1.96838 -0.4761534 0.3481731 -2.073909 -2.529588 -1.64675 -1.232192 -2.794338 -2.626068 -4.297963 -2.802756 -2.859039 -3.678349 -1.56831 -2.106825 -1.702353 -2.554509 -2.237292 -2.791336 -2.848198 -0.3984566 497.5737 -78.45566 -677.0875 -3.729282 -3.047805 -2.625988 -2.847978 -5.193092 -10.43992 8.515211 3629.776 18.69552 0.7205294 -16.31789
-0.9467108 -0.2333848 0.02785805 0.6186607 1.548217 -1.986778 -2.774722 2.645714 3.784599 -1.400994 -1.013315 -1.07957 -0.3073195 -2.048378 -0.7803487 -0.06002348 -2.025292 -2.523802 -1.337804 -0.9725655 -4.085919 -2.558937 -2.650382 -2.691893 -1.272238 -0.5181713 -1.324863 -2.125409 -2.266263 -2.414289 -2.860618 -3.319273 -2.472407 0.9324145 -169.7229 60.65428 -659.3068 -1.366291 -2.787909 -1.911956 -2.600066 0.4282156 -6.375983 8.537956 9376.389 -4.472277 -1.662723 -9.436959
